"Source: EMFAC2021 (v1.0.1) Emissions Inventory"
"Region Type: Air District"
"Region: Bay Area AQMD"
"Calendar Year: 2022"
"Season: Summer"
"Vehicle Classification: EMFAC202x Categories"
"Units:  miles/year for CVMT and EVMT, trips/year for Trips, kWh/year for Energy Consumption, tons/year for Emissions, 1000 gallons/year for Fuel Consumption"

Region,"Calendar Year","Vehicle Category","Model Year",Speed,Fuel,Population,"Total VMT",CVMT,EVMT,Trips,"Energy Consumption",NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_TOTEX,PM2.5_PMTW,PM2.5_PMBW,PM2.5_TOTAL,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HOTSOAK,ROG_RUNLOSS,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HOTSOAK,TOG_RUNLOSS,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,NH3_RUNEX,"Fuel Consumption"
"Bay Area AQMD",2022,LDA,Aggregate,Aggregate,Gasoline,2247523.629850663,28340163648.23196,28340163648.23196,0,3614815638.1928225,0,1444.0069273628399,0,1036.4129074540158,2480.4198348168557,40.11680188858861,0,8.322086171420374,48.438888060008985,62.47936588578853,80.0382658522299,190.95651979802741,43.63009619365177,0,9.050632761519413,52.680728955171176,249.91746354315413,228.68075957779996,531.2789520761253,9730660.547319328,0,287331.7053268936,10017992.252646223,98.66460758147025,0,277.28381753763784,375.9484251191081,150.18991603606676,0,129.88767463308616,280.0775906691529,388.6301119650447,0,1291.9880616417042,1680.618173606749,1813.569519173436,439.7614460033478,1065.6458255218602,4999.594964305393,566.9025694376724,0,1414.5593207067138,1981.4618901443862,1813.569519173436,439.76144600316667,1065.6458255214216,5300.43868084241,34277.56122149399,0,11700.479206739643,45978.04042823363,96.19748608659253,0,2.840566433389281,99.03805251998182,1028.0560851436665,1056384.7658511547
"Bay Area AQMD",2022,LDA,Aggregate,Aggregate,Diesel,9998.413326397911,101404644.6142755,101404644.6142755,0,14822639.80668039,0,29.542513149081397,0,0,29.542513149081397,2.3298967704263327,0,0,2.3298967704263327,0.22355897347716744,0.29199292110891467,2.8454486650124147,2.4352443636212158,0,0,2.4352443636212158,0.8942358939086698,0.8342654888826129,4.1637457464124985,26943.793844789772,0,0,26943.793844789772,0.17601886676950226,0,0,0.17601886676950226,4.245005692814247,0,0,4.245005692814247,3.789582568155593,0,0,3.789582568155593,0,0,0,3.789582568155593,4.314187805277319,0,0,4.314187805277319,0,0,0,4.314187805277319,41.40000556069879,0,0,41.40000556069879,0.25530613958370707,0,0,0.25530613958370707,0.3465163095777092,2406.8784308973104
"Bay Area AQMD",2022,LDA,Aggregate,Aggregate,Electricity,140564.06525282146,2045181890.6290421,0,2045181890.6290421,242773839.7983693,789609007.8301016,0,0,0,0,0,0,0,0,4.508854261876226,3.449825563389162,7.9586798252653885,0,0,0,0,18.035417047504904,9.856644466826179,27.892061514331083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Area AQMD",2022,LDT1,Aggregate,Aggregate,Gasoline,226985.07147845562,2557570848.5652394,2557570848.5652394,0,349779779.08531487,0,374.1485235277818,0,152.1617179205788,526.3102414483606,5.477576675159412,0,1.1823028894175815,6.659879564576993,5.63847854972789,8.831749023798427,21.13010713810331,5.956964003170525,0,1.285737307619237,7.242701310789762,22.55391419891156,25.23356863942408,55.030184149125404,1028048.0611830169,0,34067.87756047949,1062115.9387434963,22.618577940773683,0,39.95989879595521,62.578476736728895,27.608806731341488,0,14.92296712272591,42.531773854067396,100.47997497765999,0,207.84621972697306,308.32619470463305,356.15140647762894,79.9531123642496,220.58938577340356,965.0200993199152,146.53282168084002,0,227.56440170753416,374.0972233883742,356.15140647762894,79.95311236421682,220.58938577331256,1030.7911280035325,5965.803703344463,0,1888.7037285140775,7854.507431858541,10.163301718427126,0,0.3367956534591885,10.500097371886316,99.83376216988479,111998.79865748079
"Bay Area AQMD",2022,LDT1,Aggregate,Aggregate,Diesel,140.93112949207259,628219.5803467461,628219.5803467461,0,144416.6313790577,0,1.0922806810987586,0,0,1.0922806810987586,0.16698854260140775,0,0,0.16698854260140775,0.0013849870983207813,0.002564588813759813,0.17093811851348834,0.1745390234971601,0,0,0.1745390234971601,0.005539948393283125,0.007327396610742323,0.18740636850118556,291.5468219224792,0,0,291.5468219224792,0.009879347955469582,0,0,0.009879347955469582,0.04593332052316564,0,0,0.04593332052316564,0.21269654488695916,0,0,0.21269654488695916,0,0,0,0.21269654488695916,0.24214087532668396,0,0,0.24214087532668396,0,0,0,0.24214087532668396,1.1854777836736263,0,0,1.1854777836736263,0.0027625543025493527,0,0,0.0027625543025493527,0.0021467293871425485,26.04376211175503
"Bay Area AQMD",2022,LDT1,Aggregate,Aggregate,Electricity,524.9763912337875,6381808.820321987,0,6381808.820321987,856492.5478883667,2463904.9239898836,0,0,0,0,0,0,0,0,0.014069480093595878,0.01083545029651237,0.02490493039010825,0,0,0,0,0.05627792037438351,0.030958429418606784,0.0872363497929903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
