ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93611,12,2017,Gas- Commercial,Y,0,0,NA
93612,10,2017,Gas- Commercial,N,917,126874,138
93612,11,2017,Gas- Commercial,Y,1356,244590,180
93612,12,2017,Gas- Commercial,Y,1371,459193,335
93616,10,2017,Gas- Commercial,Y,0,0,NA
93616,11,2017,Gas- Commercial,Y,0,0,NA
93616,12,2017,Gas- Commercial,Y,0,0,NA
93619,10,2017,Gas- Commercial,Y,0,0,NA
93619,11,2017,Gas- Commercial,Y,0,0,NA
93619,12,2017,Gas- Commercial,Y,0,0,NA
93620,10,2017,Gas- Commercial,Y,0,0,NA
93620,11,2017,Gas- Commercial,Y,0,0,NA
93620,12,2017,Gas- Commercial,Y,0,0,NA
93622,10,2017,Gas- Commercial,Y,323,34630,107
93622,11,2017,Gas- Commercial,Y,322,40708,126
93622,12,2017,Gas- Commercial,Y,0,0,NA
93625,10,2017,Gas- Commercial,Y,0,0,NA
93625,11,2017,Gas- Commercial,Y,0,0,NA
93625,12,2017,Gas- Commercial,Y,0,0,NA
93627,10,2017,Gas- Commercial,Y,0,0,NA
93627,11,2017,Gas- Commercial,Y,0,0,NA
93627,12,2017,Gas- Commercial,Y,0,0,NA
93630,10,2017,Gas- Commercial,Y,0,0,NA
93630,11,2017,Gas- Commercial,Y,0,0,NA
93630,12,2017,Gas- Commercial,Y,202,68134,337
93631,10,2017,Gas- Commercial,Y,0,0,NA
93631,11,2017,Gas- Commercial,Y,0,0,NA
93631,12,2017,Gas- Commercial,Y,0,0,NA
93635,10,2017,Gas- Commercial,Y,559,104655,187
93635,11,2017,Gas- Commercial,N,448,73430,164
93635,12,2017,Gas- Commercial,N,446,135018,303
93636,10,2017,Gas- Commercial,Y,0,0,NA
93636,11,2017,Gas- Commercial,Y,0,0,NA
93636,12,2017,Gas- Commercial,Y,0,0,NA
93637,10,2017,Gas- Commercial,N,578,199225,345
93637,11,2017,Gas- Commercial,N,581,220813,380
93637,12,2017,Gas- Commercial,Y,1210,520687,430
93638,10,2017,Gas- Commercial,Y,496,82204,166
93638,11,2017,Gas- Commercial,N,301,61920,206
93638,12,2017,Gas- Commercial,Y,0,0,NA
93640,10,2017,Gas- Commercial,Y,0,0,NA
93640,11,2017,Gas- Commercial,Y,0,0,NA
93640,12,2017,Gas- Commercial,Y,0,0,NA
93650,10,2017,Gas- Commercial,N,122,13246,109
93650,11,2017,Gas- Commercial,N,122,18282,150
93650,12,2017,Gas- Commercial,Y,0,0,NA
93657,10,2017,Gas- Commercial,N,324,52830,163
93657,11,2017,Gas- Commercial,N,325,58122,179
93657,12,2017,Gas- Commercial,N,330,90968,276
93660,10,2017,Gas- Commercial,Y,0,0,NA
93660,11,2017,Gas- Commercial,Y,0,0,NA
93660,12,2017,Gas- Commercial,Y,0,0,NA
93662,10,2017,Gas- Commercial,Y,779,166255,213
93662,11,2017,Gas- Commercial,Y,779,222554,286
93662,12,2017,Gas- Commercial,Y,781,370234,474
93668,10,2017,Gas- Commercial,Y,0,0,NA
93668,11,2017,Gas- Commercial,Y,0,0,NA
93668,12,2017,Gas- Commercial,Y,0,0,NA
93701,10,2017,Gas- Commercial,Y,0,0,NA
93701,11,2017,Gas- Commercial,Y,0,0,NA
93701,12,2017,Gas- Commercial,Y,0,0,NA
93702,10,2017,Gas- Commercial,Y,0,0,NA
93702,11,2017,Gas- Commercial,Y,0,0,NA
93702,12,2017,Gas- Commercial,N,400,100316,251
93703,10,2017,Gas- Commercial,Y,1541,229532,149
93703,11,2017,Gas- Commercial,Y,1555,265320,171
93703,12,2017,Gas- Commercial,N,545,128065,235
93704,10,2017,Gas- Commercial,Y,0,0,NA
93704,11,2017,Gas- Commercial,Y,0,0,NA
93704,12,2017,Gas- Commercial,Y,588,242671,413
93705,10,2017,Gas- Commercial,Y,0,0,NA
93705,11,2017,Gas- Commercial,Y,0,0,NA
93705,12,2017,Gas- Commercial,Y,0,0,NA
93706,10,2017,Gas- Commercial,Y,1301,281042,216
93706,11,2017,Gas- Commercial,Y,1292,372601,288
93706,12,2017,Gas- Commercial,N,569,332723,585
93710,10,2017,Gas- Commercial,Y,871,134893,155
93710,11,2017,Gas- Commercial,Y,882,173796,197
93710,12,2017,Gas- Commercial,Y,880,329534,374
93711,10,2017,Gas- Commercial,Y,1174,94349,80
93711,11,2017,Gas- Commercial,Y,1179,134931,114
93711,12,2017,Gas- Commercial,Y,1300,309582,238
93720,10,2017,Gas- Commercial,Y,1002,166766,166
93720,11,2017,Gas- Commercial,Y,1048,211900,202
93720,12,2017,Gas- Commercial,Y,1056,377608,358
93721,10,2017,Gas- Commercial,Y,0,0,NA
93721,11,2017,Gas- Commercial,Y,0,0,NA
93721,12,2017,Gas- Commercial,Y,724,354254,489
93722,10,2017,Gas- Commercial,N,849,92477,109
93722,11,2017,Gas- Commercial,N,849,127880,151
93722,12,2017,Gas- Commercial,Y,863,245409,284
93723,10,2017,Gas- Commercial,Y,0,0,NA
93723,11,2017,Gas- Commercial,Y,0,0,NA
93723,12,2017,Gas- Commercial,Y,0,0,NA
93725,10,2017,Gas- Commercial,Y,0,0,NA
93725,11,2017,Gas- Commercial,Y,0,0,NA
