ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93291,10,2017,Elec- Agricultural,Y,0,0,NA
93291,11,2017,Elec- Agricultural,Y,0,0,NA
93291,12,2017,Elec- Agricultural,Y,0,0,NA
93292,10,2017,Elec- Agricultural,Y,0,0,NA
93292,11,2017,Elec- Agricultural,Y,0,0,NA
93292,12,2017,Elec- Agricultural,Y,0,0,NA
93301,10,2017,Elec- Agricultural,Y,0,0,NA
93301,11,2017,Elec- Agricultural,Y,105,782475,7452
93301,12,2017,Elec- Agricultural,Y,0,0,NA
93304,10,2017,Elec- Agricultural,Y,0,0,NA
93304,11,2017,Elec- Agricultural,Y,0,0,NA
93304,12,2017,Elec- Agricultural,Y,0,0,NA
93305,10,2017,Elec- Agricultural,Y,0,0,NA
93305,11,2017,Elec- Agricultural,Y,0,0,NA
93305,12,2017,Elec- Agricultural,Y,0,0,NA
93306,10,2017,Elec- Agricultural,Y,0,0,NA
93306,11,2017,Elec- Agricultural,Y,0,0,NA
93306,12,2017,Elec- Agricultural,Y,0,0,NA
93307,10,2017,Elec- Agricultural,Y,1077,38670643,35906
93307,11,2017,Elec- Agricultural,Y,1013,26775892,26432
93307,12,2017,Elec- Agricultural,Y,1179,20019084,16980
93308,10,2017,Elec- Agricultural,Y,0,0,NA
93308,11,2017,Elec- Agricultural,Y,0,0,NA
93308,12,2017,Elec- Agricultural,Y,0,0,NA
93309,10,2017,Elec- Agricultural,Y,0,0,NA
93309,11,2017,Elec- Agricultural,Y,0,0,NA
93309,12,2017,Elec- Agricultural,Y,0,0,NA
93311,10,2017,Elec- Agricultural,Y,0,0,NA
93311,11,2017,Elec- Agricultural,Y,0,0,NA
93311,12,2017,Elec- Agricultural,Y,0,0,NA
93312,10,2017,Elec- Agricultural,Y,0,0,NA
93312,11,2017,Elec- Agricultural,Y,0,0,NA
93312,12,2017,Elec- Agricultural,Y,0,0,NA
93313,10,2017,Elec- Agricultural,Y,0,0,NA
93313,11,2017,Elec- Agricultural,Y,0,0,NA
93313,12,2017,Elec- Agricultural,Y,0,0,NA
93314,10,2017,Elec- Agricultural,Y,0,0,NA
93314,11,2017,Elec- Agricultural,Y,0,0,NA
93314,12,2017,Elec- Agricultural,Y,0,0,NA
93401,10,2017,Elec- Agricultural,Y,0,0,NA
93401,11,2017,Elec- Agricultural,Y,0,0,NA
93401,12,2017,Elec- Agricultural,Y,0,0,NA
93402,10,2017,Elec- Agricultural,Y,0,0,NA
93402,11,2017,Elec- Agricultural,Y,0,0,NA
93402,12,2017,Elec- Agricultural,Y,0,0,NA
93405,10,2017,Elec- Agricultural,Y,0,0,NA
93405,11,2017,Elec- Agricultural,Y,0,0,NA
93405,12,2017,Elec- Agricultural,Y,0,0,NA
93420,10,2017,Elec- Agricultural,Y,602,19901670,33059
93420,11,2017,Elec- Agricultural,Y,758,15140874,19975
93420,12,2017,Elec- Agricultural,Y,768,13628148,17745
93422,10,2017,Elec- Agricultural,Y,0,0,NA
93422,11,2017,Elec- Agricultural,Y,0,0,NA
93422,12,2017,Elec- Agricultural,Y,0,0,NA
93426,10,2017,Elec- Agricultural,Y,0,0,NA
93426,11,2017,Elec- Agricultural,Y,0,0,NA
93426,12,2017,Elec- Agricultural,Y,0,0,NA
93427,10,2017,Elec- Agricultural,Y,286,1942584,6792
93427,11,2017,Elec- Agricultural,Y,280,1463857,5228
93427,12,2017,Elec- Agricultural,N,91,200410,2202
93428,10,2017,Elec- Agricultural,Y,0,0,NA
93428,11,2017,Elec- Agricultural,Y,0,0,NA
93428,12,2017,Elec- Agricultural,Y,0,0,NA
93429,10,2017,Elec- Agricultural,Y,0,0,NA
93429,11,2017,Elec- Agricultural,Y,0,0,NA
93429,12,2017,Elec- Agricultural,Y,0,0,NA
93430,10,2017,Elec- Agricultural,Y,0,0,NA
93430,11,2017,Elec- Agricultural,Y,0,0,NA
93430,12,2017,Elec- Agricultural,Y,0,0,NA
93432,10,2017,Elec- Agricultural,N,89,216210,2429
93432,11,2017,Elec- Agricultural,Y,0,0,NA
93432,12,2017,Elec- Agricultural,Y,0,0,NA
93433,10,2017,Elec- Agricultural,Y,0,0,NA
93433,11,2017,Elec- Agricultural,Y,0,0,NA
93433,12,2017,Elec- Agricultural,Y,0,0,NA
93434,10,2017,Elec- Agricultural,Y,0,0,NA
93434,11,2017,Elec- Agricultural,Y,0,0,NA
93434,12,2017,Elec- Agricultural,Y,0,0,NA
93435,10,2017,Elec- Agricultural,Y,0,0,NA
93435,11,2017,Elec- Agricultural,Y,0,0,NA
93435,12,2017,Elec- Agricultural,Y,0,0,NA
93436,10,2017,Elec- Agricultural,Y,0,0,NA
93436,11,2017,Elec- Agricultural,Y,0,0,NA
93436,12,2017,Elec- Agricultural,N,130,875334,6733
93437,10,2017,Elec- Agricultural,Y,0,0,NA
93437,11,2017,Elec- Agricultural,Y,0,0,NA
93437,12,2017,Elec- Agricultural,Y,0,0,NA
93441,10,2017,Elec- Agricultural,Y,0,0,NA
93441,11,2017,Elec- Agricultural,Y,0,0,NA
93441,12,2017,Elec- Agricultural,Y,0,0,NA
93442,10,2017,Elec- Agricultural,Y,0,0,NA
93442,11,2017,Elec- Agricultural,Y,0,0,NA
93442,12,2017,Elec- Agricultural,Y,0,0,NA
93444,10,2017,Elec- Agricultural,Y,0,0,NA
93444,11,2017,Elec- Agricultural,Y,0,0,NA
93444,12,2017,Elec- Agricultural,Y,0,0,NA
93445,10,2017,Elec- Agricultural,Y,0,0,NA
93445,11,2017,Elec- Agricultural,Y,0,0,NA
93445,12,2017,Elec- Agricultural,Y,0,0,NA
93446,10,2017,Elec- Agricultural,Y,1070,3194551,2986
93446,11,2017,Elec- Agricultural,Y,1296,2866643,2212
93446,12,2017,Elec- Agricultural,Y,1303,2385893,1831
93449,10,2017,Elec- Agricultural,Y,0,0,NA
93449,11,2017,Elec- Agricultural,Y,0,0,NA
93449,12,2017,Elec- Agricultural,Y,0,0,NA
93450,10,2017,Elec- Agricultural,Y,0,0,NA
93450,11,2017,Elec- Agricultural,Y,0,0,NA
93450,12,2017,Elec- Agricultural,Y,0,0,NA
93451,10,2017,Elec- Agricultural,Y,0,0,NA
93451,11,2017,Elec- Agricultural,Y,0,0,NA
93451,12,2017,Elec- Agricultural,Y,0,0,NA
93452,10,2017,Elec- Agricultural,Y,0,0,NA
93452,11,2017,Elec- Agricultural,Y,0,0,NA
93452,12,2017,Elec- Agricultural,Y,0,0,NA
93453,10,2017,Elec- Agricultural,Y,0,0,NA
93453,11,2017,Elec- Agricultural,Y,0,0,NA
93453,12,2017,Elec- Agricultural,Y,0,0,NA
93454,10,2017,Elec- Agricultural,Y,263,11465017,43593
93454,11,2017,Elec- Agricultural,Y,0,0,NA
93454,12,2017,Elec- Agricultural,Y,0,0,NA
93455,10,2017,Elec- Agricultural,Y,0,0,NA
93455,11,2017,Elec- Agricultural,Y,0,0,NA
93455,12,2017,Elec- Agricultural,Y,0,0,NA
93458,10,2017,Elec- Agricultural,Y,0,0,NA
93458,11,2017,Elec- Agricultural,Y,0,0,NA
93458,12,2017,Elec- Agricultural,Y,0,0,NA
93460,10,2017,Elec- Agricultural,Y,207,846696,4090
93460,11,2017,Elec- Agricultural,Y,209,747693,3577
93460,12,2017,Elec- Agricultural,Y,209,829463,3969
93461,10,2017,Elec- Agricultural,Y,0,0,NA
93461,11,2017,Elec- Agricultural,Y,0,0,NA
93461,12,2017,Elec- Agricultural,Y,0,0,NA
93463,10,2017,Elec- Agricultural,Y,0,0,NA
93463,11,2017,Elec- Agricultural,Y,0,0,NA
93463,12,2017,Elec- Agricultural,Y,61,152572,2501
93465,10,2017,Elec- Agricultural,Y,0,0,NA
93465,11,2017,Elec- Agricultural,Y,0,0,NA
93465,12,2017,Elec- Agricultural,Y,0,0,NA
93601,10,2017,Elec- Agricultural,Y,0,0,NA
93601,11,2017,Elec- Agricultural,Y,0,0,NA
93601,12,2017,Elec- Agricultural,Y,0,0,NA
93602,10,2017,Elec- Agricultural,Y,0,0,NA
93602,11,2017,Elec- Agricultural,Y,0,0,NA
93602,12,2017,Elec- Agricultural,Y,0,0,NA
93603,10,2017,Elec- Agricultural,Y,0,0,NA
93603,11,2017,Elec- Agricultural,Y,0,0,NA
93603,12,2017,Elec- Agricultural,Y,0,0,NA
93608,10,2017,Elec- Agricultural,Y,0,0,NA
93608,11,2017,Elec- Agricultural,Y,0,0,NA
93608,12,2017,Elec- Agricultural,Y,0,0,NA
93609,10,2017,Elec- Agricultural,Y,0,0,NA
93609,11,2017,Elec- Agricultural,Y,0,0,NA
93609,12,2017,Elec- Agricultural,Y,0,0,NA
93610,10,2017,Elec- Agricultural,N,470,11578196,24634
93610,11,2017,Elec- Agricultural,Y,759,9076153,11958
93610,12,2017,Elec- Agricultural,Y,689,8043204,11674
93611,10,2017,Elec- Agricultural,Y,0,0,NA
93611,11,2017,Elec- Agricultural,Y,0,0,NA
93611,12,2017,Elec- Agricultural,Y,0,0,NA
93612,10,2017,Elec- Agricultural,Y,0,0,NA
93612,11,2017,Elec- Agricultural,Y,0,0,NA
93612,12,2017,Elec- Agricultural,Y,0,0,NA
93614,10,2017,Elec- Agricultural,Y,0,0,NA
93614,11,2017,Elec- Agricultural,Y,0,0,NA
93614,12,2017,Elec- Agricultural,Y,0,0,NA
93615,10,2017,Elec- Agricultural,Y,0,0,NA
93615,11,2017,Elec- Agricultural,Y,0,0,NA
93615,12,2017,Elec- Agricultural,Y,0,0,NA
93616,10,2017,Elec- Agricultural,Y,0,0,NA
93616,11,2017,Elec- Agricultural,Y,0,0,NA
93616,12,2017,Elec- Agricultural,Y,0,0,NA
93618,10,2017,Elec- Agricultural,Y,0,0,NA
93618,11,2017,Elec- Agricultural,Y,0,0,NA
93618,12,2017,Elec- Agricultural,Y,0,0,NA
93619,10,2017,Elec- Agricultural,Y,245,435930,1779
93619,11,2017,Elec- Agricultural,Y,0,0,NA
93619,12,2017,Elec- Agricultural,Y,0,0,NA
93620,10,2017,Elec- Agricultural,Y,0,0,NA
93620,11,2017,Elec- Agricultural,Y,0,0,NA
93620,12,2017,Elec- Agricultural,Y,0,0,NA
93621,10,2017,Elec- Agricultural,Y,0,0,NA
93621,11,2017,Elec- Agricultural,Y,0,0,NA
93621,12,2017,Elec- Agricultural,Y,0,0,NA
93622,10,2017,Elec- Agricultural,Y,1632,24173429,14812
93622,11,2017,Elec- Agricultural,Y,0,0,NA
93622,12,2017,Elec- Agricultural,Y,0,0,NA
93623,10,2017,Elec- Agricultural,Y,0,0,NA
93623,11,2017,Elec- Agricultural,Y,0,0,NA
93623,12,2017,Elec- Agricultural,Y,0,0,NA
93625,10,2017,Elec- Agricultural,Y,0,0,NA
93625,11,2017,Elec- Agricultural,Y,0,0,NA
93625,12,2017,Elec- Agricultural,Y,0,0,NA
93626,10,2017,Elec- Agricultural,Y,0,0,NA
93626,11,2017,Elec- Agricultural,Y,0,0,NA
93626,12,2017,Elec- Agricultural,Y,0,0,NA
93627,10,2017,Elec- Agricultural,Y,0,0,NA
93627,11,2017,Elec- Agricultural,Y,0,0,NA
93627,12,2017,Elec- Agricultural,Y,0,0,NA
93628,10,2017,Elec- Agricultural,Y,0,0,NA
93628,11,2017,Elec- Agricultural,Y,0,0,NA
93628,12,2017,Elec- Agricultural,Y,0,0,NA
93630,10,2017,Elec- Agricultural,Y,585,7879760,13470
93630,11,2017,Elec- Agricultural,Y,0,0,NA
93630,12,2017,Elec- Agricultural,Y,0,0,NA
93631,10,2017,Elec- Agricultural,Y,907,6564889,7238
93631,11,2017,Elec- Agricultural,Y,1108,4866157,4392
93631,12,2017,Elec- Agricultural,Y,1288,7339807,5699
93635,10,2017,Elec- Agricultural,Y,0,0,NA
93635,11,2017,Elec- Agricultural,Y,1664,26628664,16003
93635,12,2017,Elec- Agricultural,Y,1595,20450943,12822
93636,10,2017,Elec- Agricultural,Y,0,0,NA
93636,11,2017,Elec- Agricultural,Y,0,0,NA
93636,12,2017,Elec- Agricultural,Y,0,0,NA
93637,10,2017,Elec- Agricultural,N,649,12099429,18643
93637,11,2017,Elec- Agricultural,Y,2091,20408956,9760
93637,12,2017,Elec- Agricultural,Y,2621,18824975,7182
93638,10,2017,Elec- Agricultural,Y,390,5368149,13764
93638,11,2017,Elec- Agricultural,Y,0,0,NA
93638,12,2017,Elec- Agricultural,Y,0,0,NA
93640,10,2017,Elec- Agricultural,Y,0,0,NA
93640,11,2017,Elec- Agricultural,Y,0,0,NA
93640,12,2017,Elec- Agricultural,Y,0,0,NA
93641,10,2017,Elec- Agricultural,Y,0,0,NA
93641,11,2017,Elec- Agricultural,Y,0,0,NA
93641,12,2017,Elec- Agricultural,Y,0,0,NA
93643,10,2017,Elec- Agricultural,Y,0,0,NA
93643,11,2017,Elec- Agricultural,Y,0,0,NA
93643,12,2017,Elec- Agricultural,Y,0,0,NA
93644,10,2017,Elec- Agricultural,Y,0,0,NA
93644,11,2017,Elec- Agricultural,Y,0,0,NA
93644,12,2017,Elec- Agricultural,Y,0,0,NA
93645,10,2017,Elec- Agricultural,Y,0,0,NA
93645,11,2017,Elec- Agricultural,Y,0,0,NA
93645,12,2017,Elec- Agricultural,Y,0,0,NA
93646,10,2017,Elec- Agricultural,Y,0,0,NA
93646,11,2017,Elec- Agricultural,Y,695,2106097,3030
93646,12,2017,Elec- Agricultural,Y,673,3045066,4525
93647,10,2017,Elec- Agricultural,Y,440,1772271,4028
93647,11,2017,Elec- Agricultural,Y,0,0,NA
93647,12,2017,Elec- Agricultural,Y,0,0,NA
93648,10,2017,Elec- Agricultural,Y,0,0,NA
93648,11,2017,Elec- Agricultural,Y,0,0,NA
93648,12,2017,Elec- Agricultural,Y,0,0,NA
93650,10,2017,Elec- Agricultural,Y,0,0,NA
93650,11,2017,Elec- Agricultural,Y,0,0,NA
93650,12,2017,Elec- Agricultural,Y,0,0,NA
93651,10,2017,Elec- Agricultural,Y,0,0,NA
93651,11,2017,Elec- Agricultural,Y,0,0,NA
93651,12,2017,Elec- Agricultural,Y,0,0,NA
93652,10,2017,Elec- Agricultural,Y,0,0,NA
93652,11,2017,Elec- Agricultural,Y,0,0,NA
93652,12,2017,Elec- Agricultural,Y,0,0,NA
93653,10,2017,Elec- Agricultural,Y,0,0,NA
93653,11,2017,Elec- Agricultural,Y,0,0,NA
93653,12,2017,Elec- Agricultural,Y,0,0,NA
93654,10,2017,Elec- Agricultural,Y,1118,8732712,7811
93654,11,2017,Elec- Agricultural,Y,0,0,NA
93654,12,2017,Elec- Agricultural,Y,0,0,NA
93656,10,2017,Elec- Agricultural,Y,0,0,NA
93656,11,2017,Elec- Agricultural,Y,0,0,NA
93656,12,2017,Elec- Agricultural,Y,0,0,NA
93657,10,2017,Elec- Agricultural,N,752,2869913,3816
93657,11,2017,Elec- Agricultural,Y,0,0,NA
93657,12,2017,Elec- Agricultural,Y,1563,5494537,3515
93660,10,2017,Elec- Agricultural,Y,0,0,NA
93660,11,2017,Elec- Agricultural,Y,0,0,NA
93660,12,2017,Elec- Agricultural,Y,0,0,NA
93662,10,2017,Elec- Agricultural,Y,795,5527853,6953
93662,11,2017,Elec- Agricultural,Y,5336,24782584,4644
93662,12,2017,Elec- Agricultural,Y,0,0,NA
93667,10,2017,Elec- Agricultural,Y,0,0,NA
93667,11,2017,Elec- Agricultural,Y,0,0,NA
93667,12,2017,Elec- Agricultural,Y,0,0,NA
93668,10,2017,Elec- Agricultural,Y,0,0,NA
93668,11,2017,Elec- Agricultural,Y,0,0,NA
93668,12,2017,Elec- Agricultural,Y,0,0,NA
93675,10,2017,Elec- Agricultural,Y,0,0,NA
93675,11,2017,Elec- Agricultural,Y,0,0,NA
93675,12,2017,Elec- Agricultural,Y,0,0,NA
93701,10,2017,Elec- Agricultural,Y,0,0,NA
93701,11,2017,Elec- Agricultural,Y,0,0,NA
93701,12,2017,Elec- Agricultural,Y,0,0,NA
93702,10,2017,Elec- Agricultural,Y,0,0,NA
93702,11,2017,Elec- Agricultural,Y,0,0,NA
93702,12,2017,Elec- Agricultural,Y,0,0,NA
93703,10,2017,Elec- Agricultural,Y,0,0,NA
93703,11,2017,Elec- Agricultural,Y,0,0,NA
93703,12,2017,Elec- Agricultural,Y,0,0,NA
93704,10,2017,Elec- Agricultural,Y,0,0,NA
93704,11,2017,Elec- Agricultural,Y,0,0,NA
93704,12,2017,Elec- Agricultural,Y,0,0,NA
93705,10,2017,Elec- Agricultural,Y,0,0,NA
93705,11,2017,Elec- Agricultural,Y,0,0,NA
93705,12,2017,Elec- Agricultural,Y,0,0,NA
93706,10,2017,Elec- Agricultural,Y,1650,18228262,11047
93706,11,2017,Elec- Agricultural,Y,0,0,NA
93706,12,2017,Elec- Agricultural,Y,0,0,NA
93710,10,2017,Elec- Agricultural,Y,104,184929,1778
93710,11,2017,Elec- Agricultural,Y,0,0,NA
93710,12,2017,Elec- Agricultural,Y,0,0,NA
93711,10,2017,Elec- Agricultural,Y,0,0,NA
93711,11,2017,Elec- Agricultural,Y,0,0,NA
93711,12,2017,Elec- Agricultural,Y,0,0,NA
93720,10,2017,Elec- Agricultural,Y,0,0,NA
93720,11,2017,Elec- Agricultural,Y,0,0,NA
93720,12,2017,Elec- Agricultural,Y,0,0,NA
93721,10,2017,Elec- Agricultural,Y,112,418037,3732
93721,11,2017,Elec- Agricultural,Y,0,0,NA
93721,12,2017,Elec- Agricultural,Y,0,0,NA
93722,10,2017,Elec- Agricultural,Y,0,0,NA
93722,11,2017,Elec- Agricultural,Y,0,0,NA
93722,12,2017,Elec- Agricultural,Y,0,0,NA
93723,10,2017,Elec- Agricultural,Y,0,0,NA
93723,11,2017,Elec- Agricultural,Y,0,0,NA
93723,12,2017,Elec- Agricultural,Y,0,0,NA
93725,10,2017,Elec- Agricultural,Y,811,5300640,6536
93725,11,2017,Elec- Agricultural,Y,0,0,NA
93725,12,2017,Elec- Agricultural,Y,2883,15107025,5240
93726,10,2017,Elec- Agricultural,Y,0,0,NA
93726,11,2017,Elec- Agricultural,Y,0,0,NA
93726,12,2017,Elec- Agricultural,Y,0,0,NA
93727,10,2017,Elec- Agricultural,Y,158,299061,1893
93727,11,2017,Elec- Agricultural,Y,0,0,NA
93727,12,2017,Elec- Agricultural,Y,0,0,NA
93728,10,2017,Elec- Agricultural,Y,0,0,NA
93728,11,2017,Elec- Agricultural,Y,0,0,NA
93728,12,2017,Elec- Agricultural,Y,0,0,NA
93730,10,2017,Elec- Agricultural,Y,0,0,NA
93730,11,2017,Elec- Agricultural,Y,0,0,NA
93730,12,2017,Elec- Agricultural,Y,0,0,NA
93737,10,2017,Elec- Agricultural,Y,0,0,NA
93737,11,2017,Elec- Agricultural,Y,0,0,NA
93737,12,2017,Elec- Agricultural,Y,0,0,NA
93740,10,2017,Elec- Agricultural,Y,0,0,NA
93740,11,2017,Elec- Agricultural,Y,0,0,NA
93740,12,2017,Elec- Agricultural,Y,0,0,NA
93741,10,2017,Elec- Agricultural,Y,0,0,NA
93741,11,2017,Elec- Agricultural,Y,0,0,NA
93741,12,2017,Elec- Agricultural,Y,0,0,NA
93901,10,2017,Elec- Agricultural,Y,236,14325451,60701
93901,11,2017,Elec- Agricultural,Y,0,0,NA
93901,12,2017,Elec- Agricultural,Y,0,0,NA
93905,10,2017,Elec- Agricultural,Y,0,0,NA
93905,11,2017,Elec- Agricultural,Y,0,0,NA
93905,12,2017,Elec- Agricultural,Y,0,0,NA
93906,10,2017,Elec- Agricultural,Y,0,0,NA
93906,11,2017,Elec- Agricultural,Y,0,0,NA
93906,12,2017,Elec- Agricultural,Y,0,0,NA
93907,10,2017,Elec- Agricultural,Y,0,0,NA
93907,11,2017,Elec- Agricultural,Y,0,0,NA
93907,12,2017,Elec- Agricultural,Y,0,0,NA
93908,10,2017,Elec- Agricultural,Y,0,0,NA
93908,11,2017,Elec- Agricultural,Y,0,0,NA
93908,12,2017,Elec- Agricultural,Y,0,0,NA
93920,10,2017,Elec- Agricultural,Y,0,0,NA
93920,11,2017,Elec- Agricultural,Y,0,0,NA
93920,12,2017,Elec- Agricultural,Y,0,0,NA
93923,10,2017,Elec- Agricultural,Y,0,0,NA
93923,11,2017,Elec- Agricultural,Y,0,0,NA
93923,12,2017,Elec- Agricultural,Y,0,0,NA
93924,10,2017,Elec- Agricultural,Y,62,77765,1254
93924,11,2017,Elec- Agricultural,Y,65,57937,891
93924,12,2017,Elec- Agricultural,Y,66,52465,795
93925,10,2017,Elec- Agricultural,Y,0,0,NA
93925,11,2017,Elec- Agricultural,Y,0,0,NA
93925,12,2017,Elec- Agricultural,Y,0,0,NA
93926,10,2017,Elec- Agricultural,Y,114,5148169,45159
93926,11,2017,Elec- Agricultural,Y,0,0,NA
93926,12,2017,Elec- Agricultural,Y,0,0,NA
93927,10,2017,Elec- Agricultural,Y,77,1240711,16113
93927,11,2017,Elec- Agricultural,Y,0,0,NA
93927,12,2017,Elec- Agricultural,Y,0,0,NA
93930,10,2017,Elec- Agricultural,N,81,2921697,36070
93930,11,2017,Elec- Agricultural,Y,157,1697767,10814
93930,12,2017,Elec- Agricultural,Y,161,1694154,10523
